Date,Type,Route Name,Distance (mi),Duration,Average Pace,Average Speed (mph),Calories Burned,Climb (ft),Average Heart Rate (bpm),Notes,GPX File
2016-02-06 07:48:44,Running,,4.45,30:21,6:49,8.79,587.0,1.00,,,2016-02-06-0748.gpx
2016-01-31 07:42:21,Running,,7.20,50:06,6:58,8.61,975.0,61.35,,,2016-01-31-0742.gpx
2016-01-24 10:20:31,Running,,7.39,59:27,8:03,7.45,980.0,57.33,,,2016-01-24-1020.gpx
2016-01-16 07:24:25,Running,,3.10,22:52,7:23,8.13,415.0,47.59,,,2016-01-16-0724.gpx
2016-01-09 09:41:39,Running,,2.02,18:13,9:01,6.65,278.0,27.45,,,2016-01-09-0941.gpx
2016-01-07 06:19:43,Running,,3.81,28:17,7:26,8.07,491.0,26.43,,,2016-01-07-0619.gpx
2016-01-02 09:47:20,Running,,1.65,11:47,7:08,8.40,214.0,14.10,,,2016-01-02-0947.gpx
2015-12-27 08:49:50,Running,,2.45,16:34,6:46,8.86,326.0,35.45,,,2015-12-27-0849.gpx
2015-12-21 05:46:32,Running,,5.97,42:24,7:06,8.45,782.0,46.27,,,2015-12-21-0546.gpx
2015-12-19 11:19:29,Running,,2.41,16:46,6:58,8.61,303.0,13.88,,,2015-12-19-1119.gpx
2015-12-11 05:52:20,Running,,5.31,38:20,7:14,8.30,694.0,37.06,,,2015-12-11-0552.gpx
2015-12-10 05:55:50,Running,,2.08,14:20,6:54,8.70,268.0,11.18,,,2015-12-10-0555.gpx
2015-12-08 06:13:05,Running,,4.06,27:46,6:51,8.76,522.0,27.03,,,2015-12-08-0613.gpx
2015-12-06 08:18:08,Running,,3.05,22:26,7:22,8.15,400.0,26.18,,,2015-12-06-0818.gpx
2015-12-06 07:54:51,Running,,3.20,20:52,6:31,9.20,419.0,25.64,,"I just signed up for the @Runkeeper Global 5k!",2015-12-06-0754.gpx
2015-11-29 07:38:35,Running,,5.14,35:31,6:54,8.69,675.0,36.64,,,2015-11-29-0738.gpx
2015-11-28 07:56:41,Running,,4.06,27:49,6:51,8.75,526.0,28.85,,,2015-11-28-0756.gpx
2015-11-27 07:47:50,Running,,4.32,30:08,6:59,8.59,579.0,56.02,,,2015-11-27-0747.gpx
2015-11-24 05:42:43,Running,,4.12,30:13,7:21,8.17,535.0,30.14,,,2015-11-24-0542.gpx
2015-11-17 05:30:10,Running,,4.29,31:39,7:22,8.14,543.0,28.41,,,2015-11-17-0530.gpx
2015-11-16 05:50:05,Running,,3.06,21:25,7:00,8.56,390.0,21.64,,,2015-11-16-0550.gpx
2015-11-10 05:37:08,Running,,3.94,26:57,6:51,8.76,504.0,27.06,,,2015-11-10-0537.gpx
2015-11-05 05:55:15,Running,,4.88,33:44,6:55,8.67,641.0,43.58,,,2015-11-05-0555.gpx
2015-11-03 06:04:45,Running,,4.14,28:09,6:48,8.83,524.0,28.69,,,2015-11-03-0604.gpx
2015-11-01 05:43:54,Running,,8.03,55:08,6:52,8.74,1050.0,64.33,,,2015-11-01-0543.gpx
2015-10-29 05:25:22,Running,,6.07,42:33,7:00,8.56,801.0,52.27,,,2015-10-29-0525.gpx
2015-10-22 05:39:53,Running,,6.19,43:13,6:59,8.60,814.0,52.73,,,2015-10-22-0539.gpx
2015-10-19 06:00:56,Running,,3.41,26:12,7:41,7.82,446.0,23.00,,,2015-10-19-0600.gpx
2015-10-17 08:30:17,Running,,6.03,41:57,6:58,8.62,786.0,50.20,,,2015-10-17-0830.gpx
2015-10-15 05:48:19,Running,,6.11,43:57,7:12,8.34,832.0,115.84,,,2015-10-15-0548.gpx
2015-10-13 06:10:50,Running,,5.03,35:33,7:04,8.49,658.0,36.42,,,2015-10-13-0610.gpx
2015-10-12 06:10:58,Running,,3.21,24:04,7:30,8.00,414.0,20.89,,,2015-10-12-0610.gpx
2015-10-10 09:19:07,Running,,7.17,50:19,7:01,8.54,953.0,91.62,,,2015-10-10-0919.gpx
2015-10-09 05:53:25,Running,,6.14,44:40,7:17,8.25,811.0,52.92,,,2015-10-09-0553.gpx
2015-10-05 06:42:16,Running,,4.46,30:12,6:46,8.87,585.0,78.98,,,2015-10-05-0642.gpx
2015-09-30 05:39:31,Running,,3.03,22:58,7:35,7.91,404.0,47.78,,,2015-09-30-0539.gpx
2015-09-29 05:56:38,Running,,6.06,43:14,7:08,8.40,799.0,50.81,,,2015-09-29-0556.gpx
2015-09-26 08:06:32,Running,,4.09,28:43,7:01,8.54,544.0,63.00,,,2015-09-26-0806.gpx
2015-09-24 05:44:15,Running,,6.14,44:04,7:11,8.36,844.0,130.37,,,2015-09-24-0544.gpx
2015-09-23 06:22:26,Running,,1.11,8:22,7:34,7.93,150.0,20.82,,,2015-09-23-0622.gpx
2015-09-22 05:45:22,Running,,6.05,43:38,7:13,8.31,796.0,51.32,,,2015-09-22-0545.gpx
2015-09-14 06:15:47,Running,,2.99,20:55,7:01,8.56,379.0,19.80,,,2015-09-14-0615.gpx
2015-09-04 06:12:11,Running,,3.01,21:03,7:00,8.58,379.0,21.27,,,2015-09-04-0612.gpx
2015-09-02 05:57:05,Running,,3.23,21:59,6:49,8.81,415.0,46.28,,,2015-09-02-0557.gpx
2015-08-24 05:59:46,Running,,6.28,51:25,8:11,7.33,824.0,52.45,,,2015-08-24-0559.gpx
2015-08-04 06:56:23,Running,,5.76,42:37,7:24,8.11,785.0,101.31,,,2015-08-04-0656.gpx
2015-05-02 07:44:55,Running,,12.01,1:21:06,6:45,8.89,1609.0,166.22,,,2015-05-02-0744.gpx
2015-04-26 08:26:20,Running,,20.02,2:19:28,6:58,8.61,2706.0,336.94,,,2015-04-26-0826.gpx
2015-04-23 06:46:12,Running,,6.35,40:00,6:18,9.52,854.806870669343,,,,
2015-04-18 09:25:49,Running,,12.03,1:21:12,6:45,8.89,1669.0,330.24,,,2015-04-18-0925.gpx
2015-04-14 06:49:15,Running,,6.80,45:00,6:37,9.07,922.226627917734,,,,
2015-04-12 09:01:08,Running,,20.02,2:21:31,7:04,8.49,2684.0,302.30,,,2015-04-12-0901.gpx
2015-04-11 09:23:52,Running,,8.77,1:00:00,6:50,8.77,1192.16529604219,,,,
2015-04-09 06:55:02,Running,,7.89,50:00,6:20,9.47,1063.36371174597,,,,
2015-04-08 06:40:46,Running,,4.00,27:30,6:53,8.73,543.935611091855,,,,
2015-04-07 06:38:55,Running,,3.11,20:51,6:42,8.95,422.161944097415,,,,
2015-04-05 10:34:16,Running,,20.02,2:26:21,7:19,8.21,2774.0,469.08,,,2015-04-05-1034.gpx
2015-04-02 08:29:48,Running,,7.15,45:00,6:18,9.53,962.334708695573,,,,
2015-04-01 06:38:27,Running,,5.00,35:34,7:07,8.43,685.853251056745,,,,
2015-03-31 06:38:32,Running,,5.25,35:22,6:44,8.91,712.891783218619,,,,
2015-03-29 13:09:20,Running,,12.00,1:27:12,7:16,8.26,1662.63169392689,,,,
2015-03-28 09:34:41,Running,,10.00,1:10:14,7:01,8.54,1363.59481610717,,,,
2015-03-26 06:42:39,Running,,4.00,26:47,6:42,8.96,542.926571032349,,,,
2015-03-24 06:40:26,Running,,6.95,45:00,6:28,9.27,940.672045954172,,,,
2015-03-22 10:39:52,Running,,9.00,1:01:42,6:51,8.75,1223.60873145377,,,,
2015-03-21 10:03:56,Running,,19.03,2:16:34,7:11,8.36,2534.0,250.09,,,2015-03-21-1003.gpx
2015-03-20 11:58:36,Running,,5.00,33:25,6:41,8.98,678.570216110828,,,,
2015-03-18 06:15:46,Running,,3.00,21:13,7:04,8.48,410.400349218366,,,,
2015-03-12 06:49:07,Running,,4.01,29:28,7:21,8.17,558.5463580194,,,,
2015-03-11 18:37:33,Running,,6.52,40:00,6:08,9.78,873.220115922825,,,,
2015-03-10 06:43:18,Running,,4.00,25:15,6:19,9.50,538.68295135348,,,,
2015-03-07 07:58:59,Running,,6.53,46:49,7:11,8.36,887.0,110.56,,,2015-03-07-0758.gpx
2015-03-06 08:55:49,Running,,17.07,2:10:48,7:40,7.83,2293.0,261.85,,,2015-03-06-0855.gpx
2015-03-05 06:06:53,Running,,3.00,20:38,6:53,8.72,407.963441342839,,,,
2015-03-04 06:48:08,Running,,1.00,6:45,6:45,8.89,135.807907413748,,,,
2015-03-03 06:24:32,Running,,3.56,24:00,6:44,8.90,483.433904279548,,,,
2015-03-01 11:05:08,Running,,16.00,1:59:50,7:29,8.01,1996.17497179952,,,,
2015-02-28 08:38:35,Running,,8.00,54:28,6:49,8.81,1087.11982588882,,,,
2015-02-26 07:05:19,Running,,6.09,40:00,6:34,9.14,825.510489951362,,,,
2015-02-25 06:33:54,Running,,2.30,16:33,7:12,8.34,317.198809531975,,,,
2015-02-24 06:23:33,Running,,3.50,23:00,6:34,9.13,474.447488461985,,,,
2015-02-22 10:17:25,Running,,6.00,45:00,7:30,8.00,843.933650426058,,,,
2015-02-21 10:56:25,Running,,7.01,46:45,6:40,9.00,951.214018538329,,,,
2015-02-17 07:29:45,Running,,3.75,26:58,7:11,8.34,517.018495829487,,,,
2015-02-16 09:16:31,Running,,11.30,1:19:30,7:02,8.53,1542.0902415464,,,,
2015-02-13 06:33:55,Running,,7.00,49:50,7:07,8.43,960.55464429964,,,,
2015-02-10 06:38:16,Running,,5.42,35:00,6:27,9.29,733.19803566152,,,,
2015-02-08 09:07:18,Running,,2.35,19:21,8:15,7.27,315.987372421453,24.91,,,2015-02-08-0907.gpx
2015-02-08 07:21:54,Running,,13.05,1:34:59,7:17,8.24,1757.49401388194,211.32,,,2015-02-08-0721.gpx
2015-02-07 08:58:32,Running,,6.00,41:10,6:52,8.74,815.785724128634,,,,
2015-02-05 06:42:40,Running,,5.31,35:00,6:35,9.10,719.953452705702,,,,
2015-02-04 17:55:59,Running,,3.00,21:15,7:05,8.47,419.71358010077,,,,
2015-02-01 09:56:00,Running,,8.00,58:20,7:18,8.23,1110.0,,,,
2015-01-31 09:04:24,Running,,6.00,41:15,6:53,8.73,815.903054316008,,,,
2015-01-29 06:34:39,Running,,4.40,30:00,6:49,8.80,597.976927981582,,,,
2015-01-28 06:28:00,Running,,3.00,22:15,7:25,8.09,420.0,,,,
2015-01-27 06:07:00,Running,,3.01,20:31,6:49,8.80,409.0,,,,
2015-01-26 05:45:00,Swimming,,0.57,30:00,52:38,1.14,265.0,,,,
2015-01-25 11:53:53,Running,,11.01,1:22:02,7:27,8.05,1543.73623710556,,,,
2015-01-24 10:35:09,Running,,5.00,35:58,7:12,8.34,689.458139996497,,,,
2015-01-22 06:20:42,Running,,3.01,20:20,6:45,8.88,408.803912701102,,,,
2015-01-21 06:26:01,Running,,3.01,21:50,7:15,8.27,416.688754234608,,,,
2015-01-20 07:08:57,Running,,2.32,16:00,6:54,8.70,315.5529050831,,,,
2015-01-19 10:48:01,Swimming,,0.50,30:00,60:00,1.00,251.894962806527,,,,
2015-01-18 10:11:01,Running,,10.05,1:12:24,7:12,8.33,1366.17706313365,159.76,,,2015-01-18-1011.gpx
2015-01-17 07:17:29,Running,,5.00,35:20,7:04,8.49,683.749919045441,,,,
2015-01-15 07:35:12,Running,,4.16,30:00,7:13,8.32,574.311744381954,,,,
2015-01-14 08:54:14,Swimming,,0.25,15:00,60:00,1.00,126.0,,,,
2015-01-14 06:10:00,Running,,1.00,7:30,7:30,8.00,141.0,,,,
2015-01-13 20:33:37,Running,,2.50,18:15,7:18,8.22,206.285305018948,,,,
2015-01-12 10:32:20,Running,,3.00,21:00,7:00,8.57,408.479514380749,,,,
2015-01-09 17:04:12,Walking,,1.10,20:40,18:43,3.21,101.0,,,,
2015-01-09 16:45:44,Walking,,0.37,13:30,36:15,1.66,42.0,,,,
2015-01-08 17:05:05,Walking,,0.56,12:58,23:03,2.60,55.0,,,,
2015-01-08 07:42:49,Walking,,1.10,19:46,17:56,3.35,100.0,,,,
2015-01-07 08:16:06,Walking,,0.35,13:19,38:01,1.58,40.0,,,,
2015-01-07 07:43:26,Walking,,0.62,24:09,38:55,1.54,72.0,,,,
2015-01-06 16:33:57,Walking,,1.46,35:40,24:23,2.46,147.0,,,,
2015-01-06 07:39:55,Walking,,0.67,22:11,33:20,1.80,72.0,,,,
2015-01-05 16:59:27,Walking,,0.57,13:23,23:41,2.53,56.0,,,,
2015-01-01 10:13:37,Running,,3.20,24:35,7:41,7.81,436.860042620824,41.18,,,2015-01-01-1013.gpx
2014-12-28 11:37:25,Running,,7.10,50:20,7:05,8.46,939.860471266961,401.00,,,2014-12-28-1137.gpx
2014-12-18 05:46:45,Running,,2.30,18:10,7:54,7.60,284.978187284551,242.00,,,2014-12-18-0546.gpx
2014-12-10 06:14:47,Running,,2.88,19:42,6:51,8.77,362.550972586439,37.48,,,2014-12-10-0614.gpx
2014-12-07 14:10:51,Running,,2.00,17:00,8:30,7.06,272.0,,,,
2014-12-07 10:22:18,Running,,10.54,1:19:07,7:30,7.99,1389.29218320404,176.64,,,2014-12-07-1022.gpx
2014-12-05 05:42:44,Running,,3.83,27:52,7:17,8.24,474.103556069198,384.00,,,2014-12-05-0542.gpx
2014-12-02 06:24:00,Running,,3.05,19:44,6:28,9.27,373.0,42.71,,,2014-12-02-0624.gpx
2014-11-27 08:42:02,Running,,9.54,1:55:28,12:06,4.96,1281.37228017619,135.48,,,2014-11-27-0842.gpx
2014-11-22 08:29:39,Running,,10.79,1:21:27,7:33,7.95,1393.30268694367,1060.00,,,2014-11-22-0829.gpx
2014-11-19 06:18:27,Running,,4.26,31:24,7:22,8.14,523.837717735239,46.82,,,2014-11-19-0618.gpx
2014-11-16 09:25:33,Running,,9.92,1:19:25,8:01,7.49,1322.90894866721,111.80,,,2014-11-16-0925.gpx
2014-11-12 06:02:46,Running,,5.98,44:35,7:28,8.04,732.738916604275,614.00,,,2014-11-12-0602.gpx
2014-11-11 06:33:20,Running,,3.05,21:12,6:57,8.64,359.100113330827,46.42,,,2014-11-11-0633.gpx
2014-11-09 09:53:45,Running,,10.31,1:18:49,7:39,7.84,1322.96326174166,179.09,,,2014-11-09-0953.gpx
2014-11-07 05:46:41,Running,,9.26,1:12:22,7:49,7.68,1156.0,120.59,,,2014-11-07-0546.gpx
2014-11-05 06:17:06,Running,,8.03,1:03:41,7:56,7.57,995.970729579195,680.00,,,2014-11-05-0617.gpx
2014-11-03 06:23:39,Running,,4.92,39:15,7:59,7.52,571.699037409667,649.00,,,2014-11-03-0623.gpx
2014-11-01 09:37:08,Running,,7.82,1:26:50,11:06,5.41,963.260227903359,,,,
2014-10-30 06:41:36,Running,,3.08,22:52,7:25,8.09,388.687759654321,43.73,,,2014-10-30-0641.gpx
2014-08-30 09:55:57,Running,,4.53,32:06,7:05,8.46,605.0,48.18,,,2014-08-30-0955.gpx
2014-08-19 06:44:29,Running,,2.34,16:39,7:08,8.41,285.0,16.74,,,2014-08-19-0644.gpx
2014-08-19 05:50:26,Running,,2.47,18:50,7:38,7.86,325.0,20.18,,,2014-08-19-0550.gpx
2014-08-14 18:31:16,Running,,2.79,20:51,7:29,8.02,359.0,32.63,,,2014-08-14-1831.gpx
2014-08-13 06:47:06,Running,,2.36,17:55,7:35,7.91,291.0,17.00,,,2014-08-13-0647.gpx
2014-08-13 06:40:29,Running,,2.00,13:25,6:42,8.94,282.35829954006,,,,
2014-08-13 05:37:35,Running,,2.47,18:34,7:32,7.97,310.0,19.40,,,2014-08-13-0537.gpx
2014-08-12 16:49:48,Running,,3.01,21:08,7:01,8.55,365.0,41.81,,,2014-08-12-1649.gpx
2014-08-09 10:16:06,Running,,10.05,1:21:14,8:05,7.42,1352.0,167.00,,,2014-08-09-1016.gpx
2014-08-08 17:46:42,Running,,2.74,19:29,7:07,8.44,347.0,39.79,,,2014-08-08-1746.gpx
2014-08-06 17:51:39,Running,,6.14,46:55,7:39,7.84,815.0,112.19,,,2014-08-06-1751.gpx
2014-08-05 06:57:19,Running,,3.09,23:26,7:35,7.92,413.0,45.34,,,2014-08-05-0657.gpx
2014-08-04 18:50:40,Running,,3.23,27:24,8:29,7.07,437.0,57.41,,,2014-08-04-1850.gpx
2014-08-03 15:52:22,Running,,1.00,8:00,8:00,7.50,144.51044675067,,,,
2014-08-02 10:50:39,Running,,8.81,1:12:33,8:14,7.28,1219.0,107.35,,,2014-08-02-1050.gpx
2014-08-01 06:07:00,Running,,3.00,21:19,7:06,8.44,428.0,,,,
2014-07-30 06:37:00,Running,,4.70,35:00,7:27,8.06,685.0,,,,
2014-07-29 17:42:22,Running,,3.03,22:56,7:34,7.93,409.0,46.61,,,2014-07-29-1742.gpx
2014-07-28 17:37:11,Running,,3.07,25:38,8:21,7.19,414.0,55.66,,,2014-07-28-1737.gpx
2014-07-27 14:23:15,Running,,3.22,24:22,7:34,7.93,451.0,39.00,,,2014-07-27-1423.gpx
2014-07-26 09:39:48,Running,,4.80,38:00,7:55,7.58,695.074230644343,,,,
2014-07-25 06:37:00,Running,,3.00,22:20,7:27,8.06,437.0,,,,
2014-07-23 06:20:00,Running,,3.00,22:30,7:30,8.00,439.0,,,,
2014-07-22 07:08:51,Running,,1.73,12:49,7:24,8.11,240.0,25.36,,,2014-07-22-0708.gpx
2014-07-15 17:02:19,Running,,4.45,37:43,8:29,7.07,600.0,67.47,,"Stopped to help repairman. ",2014-07-15-1702.gpx
2014-07-14 16:42:35,Running,,4.49,36:25,8:07,7.39,586.0,78.23,,,2014-07-14-1642.gpx
2014-07-10 06:30:00,Running,,5.00,37:30,7:30,8.00,715.0,,,,
2014-07-09 16:43:11,Running,,4.41,37:38,8:33,7.02,579.0,66.64,,,2014-07-09-1643.gpx
2014-07-09 08:55:39,Running,,3.11,23:00,7:24,8.11,421.0,,,,
2014-07-06 13:37:01,Running,,2.32,18:00,7:46,7.72,314.0,2.30,,,2014-07-06-1337.gpx
2014-07-04 13:36:00,Running,,2.00,15:00,7:30,8.00,273.0,,,,
2014-07-03 16:43:37,Running,,1.50,10:00,6:40,9.00,207.024960798692,,,,
2014-07-02 11:18:00,Running,,4.20,32:00,7:37,7.87,571.0,,,,
2014-06-30 08:59:18,Running,,2.00,15:00,7:30,8.00,273.0,,,,
2014-06-30 06:19:00,Running,,2.50,18:00,7:12,8.33,334.0,,,,
2014-06-25 10:52:00,Running,,5.00,38:30,7:42,7.79,678.0,,,,
2014-06-23 10:52:00,Running,,2.00,15:00,7:30,8.00,273.0,,,,
2014-06-22 09:16:00,Running,,3.00,26:00,8:40,6.92,396.0,,,,
2014-06-21 09:17:00,Running,,4.10,33:00,8:03,7.45,551.0,,,,
2014-06-20 09:18:00,Running,,3.50,25:00,7:09,8.40,466.0,,,,
2014-06-17 19:48:40,Running,,3.22,28:08,8:44,6.86,432.0,44.64,,,2014-06-17-1948.gpx
2014-06-15 15:51:00,Running,,3.10,28:00,9:02,6.64,413.0,,,,
2014-06-12 06:03:00,Running,,5.00,37:30,7:30,8.00,681.0,,,"+bball",
2014-06-11 17:24:00,Running,,3.00,22:00,7:20,8.18,404.0,,,,
2014-06-09 06:47:00,Running,,2.00,14:40,7:20,8.18,270.0,,,"+bball",
